1|Buenos días
CARA|Parte de la cabeza donde están los ojos y la boca
MANO|Parte del cuerpo con la que agarramos
PEINE|Utensilio con púas para ordenar el pelo
JABON|Producto que usamos para lavarnos
TOALLA|Tela que usamos para secarnos
ESPEJO|Superficie en la que vemos nuestro reflejo
DUCHA|Baño bajo un chorro de agua
===1|En la mochila
LIBRO|Objeto con páginas que podemos leer
LAPIZ|Utensilio de escritura que se puede borrar con goma
GOMA|Sirve para borrar lo escrito con lápiz
REGLA|Instrumento recto para medir y trazar líneas
PAPEL|Material sobre el que escribimos
ESTUCHE|Funda en la que se guardan lápices
TIJERAS|Utensilio de dos hojas para cortar
===1|Día de lluvia
NUBE|Masa de pequeñas gotas suspendida en el cielo
LLUVIA|Agua que cae de las nubes en gotas
CHARCO|Agua acumulada en un pequeño hueco del suelo
BOTAS|Calzado que cubre el tobillo y parte de la pierna
VIENTO|Aire en movimiento
RAYO|Descarga eléctrica visible durante una tormenta
TRUENO|Ruido que acompaña al relámpago
===1|El armario
CAMISA|Prenda con cuello y botones que cubre el torso
FALDA|Prenda que cuelga de la cintura sin dividirse en perneras
ABRIGO|Prenda exterior para protegerse del frío
GORRO|Prenda que cubre la cabeza y no suele tener ala
BUFANDA|Tira de tela que se coloca alrededor del cuello
GUANTE|Prenda que cubre la mano y sus dedos
ZAPATO|Calzado que suele quedar por debajo del tobillo
===1|La frutería
MANZANA|Fruta del árbol llamado manzano
PLATANO|Fruta alargada de piel amarilla al madurar
NARANJA|Cítrico cuyo nombre también es un color
MELON|Fruta grande de corteza gruesa y pulpa dulce
SANDIA|Fruta grande de pulpa roja y muchas semillas negras
CEREZA|Pequeña fruta roja con hueso y rabillo
LIMON|Cítrico amarillo de sabor ácido
===1|Mi familia
MADRE|Mujer con relación a sus hijos
PADRE|Hombre con relación a sus hijos
ABUELA|Madre de uno de tus padres
HERMANO|Persona que comparte contigo padre o madre, en masculino
PRIMO|Hijo de tu tío o de tu tía
SOBRINA|Hija de tu hermano o hermana
NIETO|Hijo de tu hijo o hija
===1|En la granja
VACA|Animal que muge y da leche
CERDO|Animal de granja que gruñe
OVEJA|Animal que se cría por su lana
CABRA|Animal con cuernos que suele trepar por terrenos rocosos
GALLO|Ave de corral cuyo canto anuncia el amanecer
PATO|Ave acuática de pico ancho
BURRO|Animal de carga de orejas largas que rebuzna
===1|Contar y medir
UNIDAD|Cada elemento que contamos por separado
SIETE|Número de días que tiene una semana
CUATRO|Número de lados de un cuadrado
DECENA|Conjunto de diez unidades
METRO|Unidad de longitud equivalente a cien centímetros
HORA|Periodo de sesenta minutos
LITRO|Medida de capacidad habitual en botellas de agua
===1|Un paseo por el mar
OLA|Elevación del agua que avanza por la superficie del mar
ARENA|Granos pequeños que forman muchas playas
BARCO|Vehículo que navega por el agua
CONCHA|Cubierta dura de muchos moluscos
FARO|Torre cuya luz orienta a los navegantes
SALADO|Sabor característico del agua de mar
GAVIOTA|Ave marina habitual en puertos y playas
===1|Pequeños movimientos
SALTAR|Elevarse del suelo con un impulso
CORRER|Desplazarse a pie más deprisa que andando
NADAR|Avanzar por el agua con el cuerpo
BAILAR|Moverse siguiendo el ritmo de la música
GIRAR|Dar vueltas alrededor de un eje
SUBIR|Ir de un lugar más bajo a otro más alto
BAJAR|Ir de un lugar más alto a otro más bajo
===1|En el desayuno
CAFE|Bebida que se prepara con granos tostados y molidos
CACAO|Ingrediente principal del chocolate
MIEL|Sustancia dulce que producen las abejas
TOSTADA|Rebanada de pan dorada por el calor
ZUMO|Líquido que se extrae de una fruta
TAZA|Recipiente con asa para tomar una bebida
MANTECA|Grasa de cerdo utilizada en cocina y repostería
===1|Una tarde tranquila
CUENTO|Narración breve, frecuente en libros infantiles
DIBUJO|Imagen hecha con líneas sobre una superficie
PUZLE|Juego de encajar piezas para formar una imagen
PINTAR|Aplicar colores sobre una superficie
MUSICA|Arte que combina sonidos y silencios
RADIO|Medio que transmite programas sonoros por emisoras
SIESTA|Sueño breve que se toma después de comer
===1|Colores alrededor
ROJO|Color de un tomate maduro
VERDE|Color habitual de las hojas
AZUL|Color del cielo despejado durante el día
NEGRO|Color del carbón
BLANCO|Color de la nieve limpia
MORADO|Color de muchas violetas
GRIS|Color que resulta al mezclar blanco y negro
===1|Pequeñas cosas
LLAVE|Objeto que se introduce en una cerradura para abrirla
MONEDA|Pieza de dinero, normalmente metálica
RELOJ|Objeto que indica la hora
VELA|Cilindro de cera con una mecha para alumbrar
CAJA|Recipiente que suele tener tapa
CESTA|Recipiente tejido, a menudo con asa
CUERDA|Conjunto de hilos retorcidos que sirve para atar
===1|Bajo los árboles
NIDO|Refugio donde muchas aves ponen sus huevos
PLUMA|Cada una de las piezas que cubren el cuerpo de las aves
HORMIGA|Insecto pequeño que vive en colonias
CARACOL|Animal que lleva una concha en espiral
ORUGA|Larva alargada que se convierte en mariposa
SETAS|Hongos de pie y sombrero, en plural
MUSGO|Planta pequeña que forma tapices en lugares húmedos
===2|Un día en la oficina
CARPETA|Objeto que agrupa y protege documentos
ARCHIVO|Conjunto organizado de documentos
AGENDA|Cuaderno para anotar citas y tareas
TECLADO|Conjunto de teclas para introducir texto
PANTALLA|Superficie donde un ordenador muestra imágenes
RATON|Dispositivo que mueve el puntero en el ordenador
GRAPADORA|Utensilio que une hojas con pequeñas piezas metálicas
IMPRESORA|Máquina que pasa texto o imágenes al papel
===2|De compras
TICKET|Comprobante impreso de una compra
CESTA|Recipiente que llevas por la tienda para reunir productos
OFERTA|Venta de un producto a un precio rebajado
CAJERO|Persona que cobra las compras en una tienda
PRECIO|Cantidad de dinero que cuesta algo
CAMBIO|Dinero que se devuelve cuando pagas de más
ETIQUETA|Pieza que identifica un producto y muestra sus datos
ENVASE|Recipiente que contiene un producto para su venta
===2|Sobre ruedas
PEDAL|Pieza que se acciona con el pie en una bicicleta
CADENA|Conjunto de eslabones que transmite el movimiento al pedalear
FRENO|Mecanismo que reduce o detiene la marcha
MANILLAR|Barra con la que se dirige una bicicleta
SILLIN|Asiento estrecho de una bicicleta
CASCO|Protección rígida que cubre la cabeza
RUEDA|Pieza circular que gira sobre un eje
RADIO|Cada varilla que une el centro de una rueda con su aro
===2|En la estación
ANDEN|Plataforma desde la que se sube al tren
VAGON|Cada vehículo que forma parte de un tren
TAQUILLA|Ventanilla donde se venden billetes
HORARIO|Relación de las horas de salida o llegada
